player_id,goals,SOTs,SOTs_pct,shots_per90,SOT_per90,goals_per_shot,goals_per_SOT,avg_shot_dist,shots_fk,pens_scored,pens_att,xg,npxg,npxg_per_shot,xg_net,npxg_net
51,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
52,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
53,1,1,50.0,1.23,0.62,0.5,1.0,6.2,0,0,0,0.6,0.6,0.31,0.4,0.4
54,0,0,0.0,1.02,0.0,0.0,0.0,9.5,0,0,0,0.1,0.1,0.09,-0.1,-0.1
55,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
56,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
57,0,1,100.0,1.32,1.32,0.0,0.0,12.9,0,0,0,0.0,0.0,0.02,0.0,0.0
58,0,0,0.0,2.73,0.0,0.0,0.0,5.4,0,0,0,0.2,0.2,0.21,-0.2,-0.2
59,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
60,1,1,100.0,4.5,4.5,1.0,1.0,17.3,0,0,0,0.1,0.1,0.08,0.9,0.9
61,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
62,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
63,3,4,22.2,0.5,0.11,0.17,0.75,13.4,0,0,0,1.4,1.4,0.08,1.6,1.6
64,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
65,1,3,12.5,0.72,0.09,0.04,0.33,22.3,0,0,0,1.3,1.3,0.06,-0.3,-0.3
66,5,16,42.1,1.29,0.54,0.13,0.31,16.9,0,0,0,3.5,3.4,0.09,1.5,1.6
67,4,7,20.0,1.19,0.24,0.11,0.57,14.3,0,0,0,5.5,5.5,0.16,-1.5,-1.5
68,0,5,21.7,0.8,0.17,0.0,0.0,10.5,0,0,0,3.0,3.0,0.13,-3.0,-3.0
69,2,8,27.6,1.1,0.3,0.07,0.25,18.6,0,0,0,2.2,2.2,0.08,-0.2,-0.2
70,1,2,11.8,0.62,0.07,0.06,0.5,19.1,0,0,0,1.3,1.3,0.08,-0.3,-0.3
71,16,35,33.0,4.14,1.37,0.13,0.4,15.8,7,2,4,16.6,13.3,0.13,-0.6,0.7
72,0,2,9.5,1.04,0.1,0.0,0.0,22.1,0,0,0,0.7,0.7,0.03,-0.7,-0.7
73,9,25,33.8,3.03,1.02,0.11,0.32,19.2,5,1,1,6.4,5.6,0.08,2.6,2.4
74,1,3,15.0,1.63,0.24,0.05,0.33,20.4,0,0,0,1.2,1.2,0.06,-0.2,-0.2
75,2,2,25.0,0.61,0.15,0.25,1.0,7.3,0,0,0,1.6,1.6,0.3,0.4,0.4
76,0,2,16.7,0.86,0.14,0.0,0.0,20.0,0,0,0,1.5,1.5,0.13,-1.5,-1.5
77,2,7,36.8,1.8,0.66,0.11,0.29,16.6,0,0,0,1.6,1.6,0.09,0.4,0.4
78,1,1,20.0,0.62,0.12,0.2,1.0,8.2,0,0,0,0.4,0.4,0.08,0.6,0.6
79,0,3,18.8,2.2,0.41,0.0,0.0,15.4,0,0,0,2.1,2.1,0.13,-2.1,-2.1
80,4,13,35.1,3.62,1.27,0.11,0.31,13.6,3,0,0,5.1,5.1,0.14,-1.1,-1.1
81,1,4,44.4,1.0,0.44,0.11,0.25,15.5,0,0,0,0.7,0.7,0.08,0.3,0.3
82,0,2,33.3,1.24,0.41,0.0,0.0,20.1,1,0,0,0.4,0.4,0.06,-0.4,-0.4
83,0,2,18.2,2.61,0.47,0.0,0.0,24.0,2,0,0,0.4,0.4,0.03,-0.4,-0.4
84,0,0,0.0,1.01,0.0,0.0,0.0,25.9,1,0,0,0.1,0.1,0.04,-0.1,-0.1
85,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
86,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
87,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
88,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
89,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
90,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
91,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
92,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
93,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
94,0,0,0.0,0.42,0.0,0.0,0.0,10.6,0,0,0,0.8,0.8,0.06,-0.8,-0.8
95,6,11,28.9,1.23,0.36,0.16,0.55,18.1,0,0,0,3.5,3.5,0.09,2.5,2.5
96,0,5,27.8,0.66,0.18,0.0,0.0,14.1,0,0,0,1.4,1.4,0.08,-1.4,-1.4
97,0,3,18.8,0.55,0.1,0.0,0.0,24.5,0,0,0,0.6,0.6,0.04,-0.6,-0.6
98,12,16,31.4,1.81,0.57,0.2,0.63,18.5,2,2,2,6.4,4.8,0.1,5.6,5.2
99,0,4,36.4,0.42,0.15,0.0,0.0,17.0,0,0,0,0.5,0.5,0.04,-0.5,-0.5
