player_id,games,minutes,mins_per_game,mins_pct,minutes_90s,game_starts,mins_per_start,games_completed,game_subs,mins_per_sub,unused_sub,PPM,onG,onGA,plus_minus,plus_minus_per90,plus_minus_wwo,onxG,onxGA,xg_plus_minus,xg_plus_minus_per90,xg_plus_minus_wwo
401,32,"1,564",49.0,45.7,17.4,17,71,4,15,24,4,1.06,14,20,-6,-0.35,0.43,18.8,23.9,-5.1,-0.29,-0.04
402,21,"1,350",64.0,39.5,15.0,17,73,2,4,29,1,1.0,15,24,-9,-0.6,-0.03,16.0,21.4,-5.3,-0.36,-0.15
403,28,"1,204",43.0,35.2,13.4,17,60,0,11,16,7,0.93,10,21,-11,-0.82,-0.38,13.8,19.0,-5.3,-0.39,-0.19
404,31,"1,642",53.0,48.0,18.2,16,81,9,15,23,4,1.16,19,25,-6,-0.33,0.48,22.6,25.8,-3.3,-0.18,0.17
405,23,"1,378",60.0,40.3,15.3,15,77,6,8,27,1,1.0,13,23,-10,-0.65,-0.12,17.2,22.0,-4.8,-0.31,-0.07
406,29,"1,291",45.0,37.7,14.3,13,70,4,16,24,8,0.97,15,23,-8,-0.56,0.03,18.6,19.6,-1.1,-0.08,0.31
407,19,"1,112",59.0,32.5,12.4,13,75,2,6,22,2,1.05,9,18,-9,-0.73,-0.22,11.9,19.0,-7.1,-0.57,-0.45
408,35,"1,378",39.0,40.3,15.3,12,75,4,23,21,0,0.97,16,21,-5,-0.33,0.42,19.6,22.3,-2.7,-0.18,0.15
409,25,767,31.0,22.4,8.5,4,68,1,21,24,4,1.12,14,11,3,0.35,1.2,12.7,13.5,-0.8,-0.1,0.22
410,14,364,26.0,10.6,4.0,3,74,1,11,13,23,0.93,2,12,-10,-2.47,-2.12,4.6,6.9,-2.3,-0.56,-0.33
411,6,277,46.0,8.1,3.1,3,79,2,3,14,25,0.67,1,7,-6,-1.95,-1.49,3.2,4.7,-1.5,-0.48,-0.23
412,6,205,34.0,6.0,2.3,2,65,0,4,19,32,0.67,0,3,-3,-1.32,-0.79,1.8,3.6,-1.8,-0.8,-0.56
413,11,200,18.0,5.8,2.2,0,0,0,11,18,7,0.82,3,4,-1,-0.45,0.14,4.2,3.2,1.0,0.47,0.78
414,2,15,8.0,0.4,0.2,0,0,0,2,8,0,2.0,2,0,2,12.0,12.63,0.2,0.6,-0.4,-2.17,-1.91
415,1,9,9.0,0.3,0.1,0,0,0,1,9,8,0.0,0,2,-2,-20.0,-19.47,0.0,1.0,-0.9,-9.35,-9.1
416,1,8,8.0,0.2,0.1,0,0,0,1,8,17,3.0,2,0,2,22.5,23.13,0.2,0.0,0.2,1.7,1.98
417,1,8,8.0,0.2,0.1,0,0,0,1,8,13,0.0,0,0,0,0.0,0.58,0.2,0.0,0.2,2.22,2.5
418,37,"3,238",88.0,94.7,36.0,37,88,30,0,0,0,0.92,32,48,-16,-0.44,-0.44,35.6,43.9,-8.3,-0.23,0.59
419,36,"3,238",90.0,94.7,36.0,36,90,34,0,0,0,1.0,36,49,-13,-0.36,1.12,37.9,47.0,-9.1,-0.25,0.2
420,37,"2,592",70.0,75.8,28.8,30,80,13,7,26,0,1.0,28,38,-10,-0.35,0.3,29.9,35.4,-5.5,-0.19,0.3
421,34,"2,372",70.0,69.4,26.4,28,79,14,6,27,4,1.03,23,28,-5,-0.19,0.75,29.5,30.0,-0.5,-0.02,0.8
422,35,"2,225",64.0,65.1,24.7,27,76,4,8,20,2,0.94,24,30,-6,-0.24,0.51,24.4,27.8,-3.4,-0.14,0.36
423,26,"2,096",81.0,61.3,23.3,23,87,20,3,29,6,0.88,23,34,-11,-0.47,-0.13,20.8,29.0,-8.2,-0.35,-0.22
424,24,"2,084",87.0,60.9,23.2,23,90,23,1,14,0,1.0,18,29,-11,-0.48,-0.14,24.8,27.3,-2.4,-0.11,0.4
425,27,"1,858",69.0,54.3,20.6,22,80,13,5,20,4,0.93,25,30,-5,-0.24,0.39,21.2,27.8,-6.6,-0.32,-0.12
426,29,"1,987",69.0,58.1,22.1,21,85,11,8,24,0,0.9,22,34,-12,-0.54,-0.29,20.9,30.1,-9.2,-0.42,-0.37
427,21,"1,890",90.0,55.3,21.0,21,90,21,0,0,16,1.1,22,25,-3,-0.14,0.62,19.0,24.4,-5.4,-0.26,0.01
428,29,"1,796",62.0,52.5,20.0,21,77,9,8,21,4,0.97,24,29,-5,-0.25,0.36,22.5,25.3,-2.9,-0.14,0.25
429,31,"1,700",55.0,49.7,18.9,20,70,4,11,27,6,0.9,20,29,-9,-0.48,-0.11,22.0,24.8,-2.8,-0.15,0.23
430,29,"1,710",59.0,50.0,19.0,19,79,4,10,20,3,0.9,15,28,-13,-0.68,-0.53,19.1,26.5,-7.5,-0.39,-0.26
431,35,"1,822",52.0,53.3,20.2,18,80,11,17,22,2,1.0,25,31,-6,-0.3,0.27,20.8,28.3,-7.5,-0.37,-0.23
432,17,"1,530",90.0,44.7,17.0,17,90,17,0,0,16,0.82,15,28,-13,-0.76,-0.62,20.0,24.6,-4.6,-0.27,-0.01
433,23,955,42.0,27.9,10.6,11,63,0,12,22,1,0.87,9,15,-6,-0.57,-0.2,8.9,13.9,-5.0,-0.47,-0.29
434,27,"1,038",38.0,30.4,11.5,10,73,0,17,18,7,0.93,11,17,-6,-0.52,-0.14,12.5,16.5,-4.0,-0.35,-0.12
435,13,861,66.0,25.2,9.6,10,85,9,3,5,22,1.0,9,18,-9,-0.94,-0.69,11.6,15.5,-3.9,-0.4,-0.19
436,27,880,33.0,25.7,9.8,9,62,2,18,18,9,1.0,11,15,-4,-0.41,0.02,12.0,11.5,0.5,0.05,0.42
437,7,630,90.0,18.4,7.0,7,90,7,0,0,9,1.29,5,7,-2,-0.29,0.17,6.2,7.7,-1.5,-0.21,0.06
438,15,404,27.0,11.8,4.5,4,74,2,11,10,23,1.07,6,10,-4,-0.89,-0.53,4.1,8.9,-4.8,-1.08,-0.92
439,8,189,24.0,5.5,2.1,2,49,0,6,15,9,1.38,0,1,-1,-0.48,-0.06,1.4,1.3,0.1,0.03,0.31
440,1,74,74.0,2.2,0.8,1,74,0,0,0,0,0.0,0,3,-3,-3.65,-3.3,0.5,1.8,-1.3,-1.61,-1.37
441,4,64,16.0,1.9,0.7,1,45,0,3,6,9,1.25,0,2,-2,-2.81,-2.44,0.3,2.2,-1.9,-2.67,-2.45
442,8,186,23.0,5.4,2.1,0,0,0,8,23,6,1.5,4,2,2,0.97,1.47,2.6,2.2,0.4,0.17,0.46
443,1,45,45.0,1.3,0.5,0,0,0,1,45,12,1.0,0,0,0,0.0,0.43,0.4,0.8,-0.4,-0.81,-0.55
444,2,13,7.0,0.4,0.1,0,0,0,2,7,15,1.0,0,0,0,0.0,0.42,0.0,0.0,0.0,0.0,0.26
445,1,12,12.0,0.4,0.1,0,0,0,1,12,3,1.0,0,0,0,0.0,0.42,0.0,0.0,0.0,0.0,0.26
446,1,10,10.0,0.3,0.1,0,0,0,1,10,14,1.0,0,0,0,0.0,0.42,0.0,0.5,-0.5,-4.4,-4.14
447,1,8,8.0,0.2,0.1,0,0,0,1,8,0,1.0,0,0,0,0.0,0.42,0.1,0.4,-0.3,-3.61,-3.36
448,1,8,8.0,0.2,0.1,0,0,0,1,8,12,0.0,0,1,-1,-11.25,-10.85,0.0,0.1,-0.1,-1.03,-0.77
